experiment,hidden_size,loss,denoising,noise_factor,threshold_percentile,precision,recall,f1,roc_auc,average_precision,healthy_mean_error,anomalous_mean_error
lstm_autoencoder_strict_hidden32_l1,32,L1,0.0,0.0,95,0.9722222222222222,0.9032258064516128,0.9364548494983278,0.9836572128364274,0.9939446922687674,0.0494315028190612,0.0959661677479744
lstm_autoencoder_strict_hidden32_l1_denoising,32,L1,1.0,0.01,95,0.9714487134296792,0.8890322580645161,0.9284150244231092,0.9805471902919648,0.9927728091656978,0.0493120439350605,0.0929220840334892
lstm_autoencoder_strict_hidden16_l1,16,L1,0.0,0.0,95,0.9713248638838476,0.863225806451613,0.9140905209222886,0.9753618247098444,0.9907522340613164,0.0494517832994461,0.0874567925930023
lstm_autoencoder_strict_hidden32_mse,32,MSE,0.0,0.0,95,0.9136212624584718,0.2661290322580645,0.4121908568573569,0.789735032981714,0.8950003378870542,0.0065870252437889,0.0110063906759023
